full_text,"sentimen (positif 1, netral 2, negatif3)",anies,ganjar,prabowo
,,,,
,,,,
,,,,
,,,,
"AMIN Untuk Kemakmuran Desa  Misi AMIN untuk desa adalah membangun desa berbasis kawasan yang manusiawi, berkeadilan dan saling memajukan    #AMINUntukKemakmuranDesa #AniesMuhaimin2024 @cakimiNOW @DPP_PKB https://t.co/XR6mdBZBbj",positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW AMIN Peduli Desa,positif,1,0,0
"@voiceofpkb @aniesbaswedan @cakimiNOW Warga desa pasti maju,mandiri dan sejahtera..AMIN 2024",positif,1,0,0
,,,,
,,,,
"Peningkatan Dana Desa menjadi Rp 5 Milyar selaras dengan Misi ke-4 AMIN yaitu Membangun Kota dan Desa Berbasis Kawasan yang Manusiawi, Berkeadilan dan Saling Memajukan.  Gus Imin @cakimiNOW menilai kenaikan dana desa ini sangat penting guna meningkatkan potensi dan mengurangi… https://t.co/ob4cV8Kuov",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin peduli desa untuk mandiri,positif,1,0,0
,,,,
,,,,
,,,,
"Salah satu Misi AMIN untuk desa adalah membangun desa berbasis kawasan yang manusiawi, berkeadilan dan saling memajukan. Pembangunan desa di sejumlah daerah masih timpang dan eksploitatif. https://t.co/iB2c5yFCnn",positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN perubahan,positif,1,0,0
,,,,
,,,,
"@NyaiiBubu Mirip crowd nya Anies-Amin, ga usah GR dulu...SulSel beda Bu... Tergantung janjiin apa.....dulu Anies paket Umroh, skr Gibran 2M....🤭 Nanti liat hasil akhir...... https://t.co/1dxmCYaTU6",netral,1,0,1
,,,,
Semua Pimpinan Buruh di Banten Siap Menangkan Amin 2024 https://t.co/NK6YC2bK6w,positif,1,0,0
"AMIN Untuk Kemakmuran Desa. Pembangunan Desa, Dana Desa. #AMINUntukKemakmuranDesa #AniesMuhaimin2024 @cakimiNOW @DPP_PKB https://t.co/IT8LR2DWK5",positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN untuk kemakmuran desa,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
"@aniesbaswedan @feryfarhati @jakintstadium @FIFAWorldCup Sehat Pak Anies calon Pemimpin Indonesia, saya bersama AMIN Untuk Indonesia lebih baik 🇮🇩 #AminPalingSiapUntukIndonesia""",positif,1,0,0
,,,,
@voiceofpkb @cakimiNOW @aniesbaswedan AMIN untuk kemakmuran desa,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Amin 2024,positif,1,0,0
,,,,
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW Mantap  AMIN 👍👍 Desa harus jadi prioritas dalam pembangunan ke depan agar maju, mandiri dan sejahtera",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW AMIN untuk mensejahterakan desa,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN Untuk Kemakmuran Desa #Amin 2024,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN untuk kemakmuran desa,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap Gus Amin 🙏👍👍👍,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Amin mantep,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
@kompascom Udah bosan milih mu.. Pak!  Sy mau pilih amin!,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW AMIN untuk kemakmuran desa,positif,1,0,0
,,,,
"Misi AMIN untuk desa adalah membangun desa berbasis kawasan yang manusiawi, berkeadilan dan saling memajukan. maka AMIN bertekad akan meningkatkan pengembangan desa, melalui peningkatan dana desa secara signifikan. #AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakimiNOW @DPP_PKB https://t.co/V3IRf92Dzz",positif,1,0,0
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW Mau warga desa maju, mandiri dan sejahtera? Maka harus AMIN Presidennya.",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
"@cakimiNOW Pilihan tepat ya AMIN, mereka berpolitik dengan terbuka, nyata apa adanya   Indonesia butuh Pemimpin seperti AMIN 🇮🇩🇮🇩",positif,1,0,0
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap AMiN,positif,1,0,0
,,,,
@porosprabowo Capres yg benar benar mampu mengatasi masalah bukan pencarian oj tuaan insya allah Indonesia kedepan lebih baik AMIN,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan Amin untuk kemakmuran desa,positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan Amin pasangan terbaik,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMiN mantap,positif,1,0,0
,,,,
,,,,
"@voiceofpkb @cakimiNOW @aniesbaswedan AMIN Menang, Warga sejahtera",positif,1,0,0
,,,,
,,,,
,,,,
"Reses Bersholawat, Nasim Khan Sapa Ratusan Penggerak PKB Bondowoso https://t.co/4aAxw2Z29r @DPP_PKB @FraksiPKB @dpwpkbjatim_ #anismuhaimin2024 #calonpemimpinbangsa2024 #situbondo #bondowoso #banyuwangi #amin #nasimkhanindonesianki",netral,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW AMIN salam perubahan. .,positif,1,0,0
"@voiceofpkb @aniesbaswedan @cakimiNOW AMIN Menang, Warga sejahtera",positif,1,0,0
,,,,
,,,,
"@DPP_PKB @cakimiNOW AMIN, Mantap",positif,1,0,0
"@DPP_PKB @cakimiNOW @aniesbaswedan AMIN Menang, Warga sejahtera",positif,1,0,0
@voiceofpkb @cakimiNOW @aniesbaswedan Amin untuk kemakmuran desa,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
"@voiceofpkb @cakimiNOW @aniesbaswedan AMIN Menang, Warga desa sejahtera",positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN Mantap👍,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
Kami yakin 90% warga @muhammadiyah akan pilih amin krn lbh dekat dgn ke sholehan dan 60% @nahdlatululama akan pilih @aniesbaswedan walau PBNU dibutakan oleh cuan mereka memihak yg lain,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Amin terbaik,positif,1,0,0
,,,,
Sahabati NKI Dan Beberapa Caleg PKB hadir Bersama Bang Nasim Khan @DPP_PKB @FraksiPKB @dpwpkbjatim_ #anismuhaimin2024 #calonpemimpinbangsa2024 #situbondo #bondowoso #banyuwangi #amin #nasimkhanindonesianki https://t.co/CPBZ8lwEsh,netral,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Setuju.....AMIN 2024💚❤☝️,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW AMiN untuk kemakmuran Desa.,positif,1,0,0
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin untuk kemakmuran desa,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap amin,positif,1,0,0
,,,,
"AMIN komitmen terhadap Pembangunan Desa, Dana Desa  #AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakimiNOW @DPP_PKB https://t.co/VVhVSVfiOY",positif,1,0,0
,,,,
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW AMIN Menang, Warga maju sejahtera",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
"DPRD PKB, PAC,RANTING PKB,DAN KORDES SAKSI PKB Se Kab.Bondowoso BERSAMA Bang NASIM KHAN @DPP_PKB @FraksiPKB @dpwpkbjatim_ #anismuhaimin2024 #calonpemimpinbangsa2024 #situbondo #bondowoso #banyuwangi #amin #nasimkhanindonesianki https://t.co/TWelvUt5hB",netral,1,0,0
#AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakiminNOW @DPP_PKB  AMIN Siap Membangun Dari Desa Untuk Indonesia https://t.co/T9sHs8hNFh,positif,1,0,0
,,,,
,,,,
#AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakiminNOW @DPP_PKB  AMIN Siap Membangun Dari Desa Untuk Indonesia https://t.co/ULbpojER4q,positif,1,0,0
,,,,
,,,,
,,,,
"@DPP_PKB @cakimiNOW AMIN Menang, Warga aman sejahtera",positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW AMIN untuk Indonesia,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW Mantap.....AMIN 2024☝️👍💪,positif,1,0,0
,,,,
,,,,
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW AMIN, yang terbaik",positif,1,0,0
,,,,
,,,,
"Inget yaaa saat nyoblos Pilihnya 1 SATU aja, Kalo milih 2 atau 3 pasti nggak sah suaranya.  #pilpres2024 #aminajadulu #aminkanindonesia #AMIN #AMIN2024 https://t.co/OKyKBYkrBW",netral,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin👍,positif,1,0,0
"@DPP_PKB @cakimiNOW AMIN Menang, Warga Makmur sejahtera",positif,1,0,0
@DPP_PKB @cakimiNOW AMiN meningkatkan DANA DESA sampai 5m.,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW tetap setia pada AMIN,positif,1,0,0
,,,,
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN Pemimpin yg bijaksana,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin untuk masyarakat desa mandir,positif,1,0,0
,,,,
,,,,
,,,,
"@voiceofpkb @aniesbaswedan @cakimiNOW Amin, Mantap",positif,1,0,0
,,,,
,,,,
,,,,
,,,,
@Fahrihamzah Maka visi misi AMIN pentingnya perubahan tatanegara jg perlu adanya perubahan perilakunya etika dan moral para pengurus di lembaga negara..,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
Orang Cerdas Pilih AMIN…!!!!,positif,1,0,0
,,,,
"@sutanmangara Ingat survei AMIN paling bawah, susah untuk menang",negatif,1,0,0
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
@voiceofpkb @cakimiNOW @aniesbaswedan Semoga terwujud Amin ok,positif,1,0,0
,,,,
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Amin mantab 👍🏻,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin peduli desa,positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan Amin mantab 👍🏻,positif,1,0,0
,,,,
@DPP_PKB @cakimiNOW AMiN peduli Desa',positif,1,0,0
"@voiceofpkb @cakimiNOW @aniesbaswedan Barakallah AMIN 2024,..💚💚",positif,1,0,0
,,,,
,,,,
,,,,
@xquitavee @prabowo @jokowi Sekarang ini JOKOWI.PRABOWO ngumpul ditambah Golkar dll...klo kalah sama elektabilitas katanya kecil..itu spt pemilu 2014 &amp  2019..yg  semua parpol besar ngupul di PRABOWO tapi yg menang JOKOWI..Rakyat bersama..LASKAR  MALAIKAT / invisible  akan memenang kan AMIN,netral,0,0,1
,,,,
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan Selalau saja ada gagasan yg fresh dari pasangan AMIN. Bukan main kartu² kayak yg sebelah. InsyaAllah 2024 nanti sy pilih perubahan.,positif,1,0,0
,,,,
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Luar biasa amin jos,positif,1,0,0
,,,,
@Dennysiregar7 Kami pendukung AMIN sebagai penonton saja kalian berantem dan hanya bisa ketawain saja Drakor kalian 😜😁😂😎,netral,1,0,0
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN 2024,positif,1,0,0
,,,,
,,,,
@DPP_PKB @cakimiNOW Amin mantab 👍🏻,positif,1,0,0
,,,,
#AMINUntukKemakmuranDesa #AniesMuhaimin2024  @cakiminNOW @DPP_PKB  AMIN Siap Membagun Dari Desa Untuk Indonesia https://t.co/aJyKFQRmfi,positif,1,0,0
,,,,
,,,,
,,,,
@voiceofpkb @cakimiNOW @aniesbaswedan AMIN 2024,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW Masyarakat akan makmur d kala pasangan amin menjadi presiden... AMIN,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
"Misi AMIN untuk Desa antara lain peningkatan Dana Desa, peningkatan Kapasitas aparatur Desa dan akses kepada Sumberdaya Alam #AMINUntukKemakmuranDesa  #AniesMuhaimin2024  @cakimiNOW  @DPP_PKB  @EmHasanuddin  @BafaqihHikmah  @caknur_rochman  @pkbkotabatu https://t.co/YgCgzQcJUh",positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN 2024...💚💚,positif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW AMIN 2024,positif,1,0,0
@voiceofpkb @cakimiNOW @aniesbaswedan Kami siap berjuang  untuk kemenangan Amin,positif,1,0,0
,,,,
@Hasbil_Lbs @cakimiNOW Si kasbil ini sengaja diutus untuk merongrong Amin... Kunyuk luh,negatif,1,0,0
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Mantab Amin,positif,1,0,0
@voiceofpkb @aniesbaswedan @cakimiNOW AMiN memakmurkan rakyat indonesia,positif,1,0,0
,,,,
,,,,
,,,,
@DPP_PKB @cakimiNOW MantaPKB Amin ok,positif,1,0,0
,,,,
,,,,
,,,,
,,,,
"Jaga kesehatan , Prabowo....!!😀 https://t.co/hGuUyiXpvg",netral,0,0,1
,,,,
,,,,
@DPP_PKB @cakimiNOW @aniesbaswedan AMIN 2024...💚💚,positif,1,0,0
,,,,
,,,,
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap AMIN,positif,1,0,0
,,,,
,,,,
"@s_mohode KAMI WARAS, KAMI PILIH AMIN",positif,1,0,0
,,,,
"@habiburokhman Ingin Perubahan atau Tetap Dungu sampai menunggu ajal menjemput. Pastikan No. 1 Menang 1 Putaran, sehingga bisa efisiensi anggaran buat bangun Mattoangin International Stadium, Makassar, Sulawesi Selatan. Bagi para suporter, mari AMIN kan INDONESIA",positif,1,0,0
@Nathanieltjin @JUST_OGA @_nusaena Cuma orang pinter dan berduit yg mau bikin orang miskin terlihat goblok. Spanduk provokasi bisa dibuat siapa aja. Apa buktinya klo anies yg bikin sampai lu benci dia?,netral,1,0,0
"@vousjeaime @muhammadsyakur2 @papanseluncur0 @kompascom Kl gak masuk bui,Pergub 38 tahun 2019 yg diteken Anies seharusnya sudah keluar di mei 2017.karena dijakarta u/NJOP &lt  2 M itu bisa saja diluas dibawah 100 m.ingat PBB itu masuk dlm kas Daerah.tidak semua APBD diindonesia sehebat APBD jakarta.yg berdampak ke pembangunan Daerah.",netral,1,0,0
@hasmibakhtiar Lah Jakarta apa ga ada eksekusi Gubernurnya waktu  di jabat pak Anies... Melek lah bung walau banyak rintangan dari rezim JIS dan  Formula e mendunia loh nah sekarang rezim jalan bareng pak gemoy 😃,netral,1,0,0
"@BungDenni @stephanusn @AnggaPutraF Tapi menjelaskan katakter oportunist Anies, yg rela manfaatkan situasi.",negatif,1,0,0
@BosPurwa Anies is the best👍pendistribusian beras dari cipinang ke daerah² dan sebaliknya bs terjadi saat menjabat DKI 1. semoga AMIN menang 1putaran. #AniesMuhaimin2024,positif,1,0,0
@tempodotco gak ada gregetnya DKI skrg..  beda jauh dgn jaman Ahok dan Anies!!  suka tdk suka Ahok dan Anies sdh 'mewarnai' jkt dgn ciri khas masing2  maklum deh...PJ Gub yg skrg ini...,netral,1,0,0
@aviantara_ari @ichank620 @kumparan Relokasi itu ga butuh duit?? Ga buang waktu?? Aku sih dah paham anies bukan pemimpin yg tanggung jawab. Pokoknya dia sendiri cari selamat.,negatif,1,0,0
"@BosPurwa Dari jawaban ini, seandainya anies menang, keknya ikn ga bakal dilanjutkan.",netral,1,0,0
@Dennysiregar7 Siapa itu Anies??  Ini koment loe di salah satu twit loe Den...,netral,1,0,0
"@mukabahagia @detikcom Semakin Lo serang Anies, semakin turun elektabilitas Ganjar. Saran gw jgn main kaya gitu lagi, udah ngga zaman. Kasian pak Ganjar udah capek-capek pidato sana sini ngomongin programnya, kemudian image nya lu hancurin.",negatif,0,0,0
"Mas Anies &amp  Gus Imin diangkat jadi warga kehormatan muhammadiyah. Orang NU jadi warga Muhamaddiyah, adem melihatnya.   Politik yang menyatukan &amp  mendamaikan, tentu karena dicontohkan dr para pemimpin bijak.   https://t.co/XIvtfMfAtu",positif,1,0,0
"@MissKoral @feerzylant Hmm tim.Anies hrs punya strategi matang ..suara Amin bisa jadi menang di TPS2. Tapi hrs punya cara utk melawan potnsi curang, bisa trjd pindah2 suara saat rekap bertingkat stlah TPS. Saran : siapkan tandingan utk LiveQuick Count. Siapkan Server tandingan server KPU rekap online",positif,1,0,0
@DoankWarto Artinya Anies tdk akan dipilih oleh siapapun dri Kalimantan 🤭,netral,1,0,0
1.Anies Yes   Muhaimin Yes  2.Prabowo Yes   Gibran No   3.Ganjar No   Mahfud Yes,netral,1,1,1
@Adhit_1909 @imad_shinnyuki Anies yg ride the wave ahok mulu disalahin 2 2ny ma salah atuh,netral,1,0,0
Baleho Anies cak imin di beberapa tempat mulai di copot...tp yg lain ora di copot mas. Bawaslu yg adil ya jangan memihak salah satu paslon Ternyata untuk menghadirkan keadilan RAKYAT HARUS TURUN TANGAN!!! https://t.co/Wa77y2t8iI,negatif,1,0,0
@paulusphoek @RizaRidho @SumitroYoel Berarti pinter Anies klo kebijakan untuk Rakyat.  Makasih udah menjelaskan... 😁,positif,1,0,0
@BennyHarmanID Bpk ini seperti keselek buah Kedondong...ngata2in Anies ehh malah mendukung Pengkhianat Konstitusi yg justru dia kritik sebelumnya... Demi apa coba ?? Demi Anak ?? Sama dong ama Jokowi...🤣🤣 https://t.co/zpqfjPxuZq,negatif,1,0,0
"@AdorkableRacer Anies udh bagus bgt gagasan dan idenya. fearmongering kubu sebelah pasti, kek udah PASTI, pake isu SARA melulu. padahal udh terbukti kagak kejadian selama 5 taun menjabat.",positif,1,0,0
"KETUA KPK YANG NGOTOT TERSANGKAKAN ANIES SUDAH LUMPUH, AKANKAH KETUM2 PARPOL YANG SELAMA INI DISANDERANYA JD BEBEK LUMPUH AKAN BERONTAK DAN MULAI MEMAKAI AKAL SEHATNYA KEMBALI? TOBAT DARI MENDUKUNG BELIMBING SAYUR ILEGAL?",netral,0,0,0
@khairanif4 @kompascom Iyaa bukan yg terbaik ah… sy lebih suka jokowi dan ahok…. Lebih inovatif dan transparan…. Cara ngomong di publik ya boleh lah anies juaranya,netral,1,0,0
"@keuangannews_id Rekam jejak dijkt mantap Saya Percy apa yg Dikatalan Pak Anies, Yg penting presidenya Anies dah, cerdas dan nggak malu2in",positif,1,0,0
@ajengcute16__ JK yg gak msuk timnas Anies kamu yg sewot....😂😂😂😂,netral,1,0,0
@BosPurwa Aq cuma ingat SBY gak merekomendasikan mmilih Anies pd putaran ke dua😄😃,netral,1,0,0
"@what5hitooya @PartaiSocmed Intinya kalo Anies gak masuk putaran kedua yang penting bukan Ganjar, netralitas itu ada batas. dan Netralitas itu punya kecenderungan lho.  🤣",netral,1,0,0
"Trending topic in Indonesia di X (Twitter) pagi ini, Ketua KPK Firli Bahuri diberitakan berbagai media   Ditetapkan tersangka kasus pemerasan eks Mentan Syahrul Yasin Limpo. Allah Maha Adil. Sejak akhir Oktober 2022, Anies Baswedan diberitakan mau ditangkap KPK dan sempat…",netral,0,0,0
"@tvOneNews Cerdas,punya solusi,memang hanya Anies dan muhaimin lah yg paling cocok utk menjadi Presiden RI 2024...",positif,1,0,0
@Malika6027 Kren pak Anies,positif,1,0,0
"@VIVAcoid Alhamdulillah, si firli akhirnya akan merasakan indahnya hotel prodeo. Dia sangat menyesal tdk bisa menangkap Harun masiku dan mentersangkakan Anies",netral,1,0,0
"@SumitroYoel Ah ga jg sih om...banyak temen chindo gw dengan diluar dugaan gw kok malah prefer Anies padahal setau gw cukong2 taipan itu bekingin pdip (ganjar) dan jokowi (gibran), sama2 untuk kemenangan status quo..ga ngerti sih knp..cmiiw",netral,1,1,1
@yudiharahap46 Mantaab pogram anies baswedan,positif,1,0,0
@soeyoto1 Anda aja bodoh mendengarkan apa yg di sampaikan Anies. Goblok jangan di perjelas mas https://t.co/ZlMOMBq2eA,negatif,1,0,0
"@kukeKIKEkoke Gaya pak Anies itu lugas, jelas dan tegas, Dan penuh kesantunan dalam tiap narasi yang dia sampaikan",positif,1,0,0
@MardaniAliSera Setuju dgn Demokrat Anies mencela mencele https://t.co/bvfn78cAVt,negatif,1,0,0
"Anies sebut 50 persen pengeluaran rumah tangga Indonesia untuk pangan. Tapi, harga pangan terus meningkat, seperti beras, minyak goreng hingga daging https://t.co/IDipYzOGv9",netral,1,0,0
"@Ary_AnfieLd @arkaatmaja7 @Dennysiregar7 waduh gk bahaya tah nyerang anies, padahal denny udah mulai jilat anies. bahkan para pendukung paslon 3 bilang kalo lebih baik milih anies ketimbang om wowo. awas nanti ente dimarahi ama denny",netral,1,0,1
,,,,
"@civil_cociety @tvOneNews @aniesbaswedan Kebanyakan swing voter justru mempertanyakan IKN pak. Studi lingkungan nya belum jelas.  Kalo tujuannya pemerataan ekonomi, yg dipindah ke IKN itu hanya bagian administratif aja. Pusat ekonomi ttp di Jawa. Itu yg dikritisi Anies.",netral,1,0,0
@fmyvfnkoig @Chrollo_lcfr @SumitroYoel Sebutin prestasi anies utk jkt yg melebih ahok. Gua tunggu jawabanmu bro!!!!,netral,1,0,0
"@coldthem @kuronekobundser Well kita gaboleh mengesampingkan apa yang dialami Mas Xucing di masa itu, pasti pengalaman yang gak mengenakkan. Tapi balik ke konteks, apakah yang menuduh kafir dan halal darahnya adalah Anies, atau berkaitan dengan kebijakannya? Kan ngga. Jd blamingnya jgn salah sasaran",netral,1,0,0
@hutbene @tvOneNews @jokowi Gue kasih faham: 1.Program dan gagasan scr umum udah disampaikan sebelum sesi tanya-jawab 2. Masalah IKN itu Anies dalam konteks menjawab pertanyaan panelis.,netral,1,0,0
"Pertanyaannya, apakah para pendukung Anies ini mau dengerin saya dan mulai mengkampanyekan bahwa perubahan Anies itu bahkan bisa membuat bansos lebih banyak dan infrastrukturnya jadi lebih manfaat atau seperti biasa, nyinyirin orang yg mengkritik Anies, tim atau pendukungnya?",netral,1,0,0
"@MardaniAliSera Anies itu Orang Cerdas dan tahu Masalah....jadi kl Demokrat ngomong seperti itu wajar masih sakit hati Politik"" belum Move On...""",netral,1,0,0
Anies makin diserang difitnah semakin cemerlang Alhamdulillah GustiAllah Orasare. Check out Cha Kene's Story! https://t.co/tz93hF6Y88,positif,1,0,0
@carlanox1 @BosPurwa Bs kasih data yg menunjukkan jakarta tambah jelek slm d pimpin anies?,netral,1,0,0
"@v_octania Anies Baswedan, melalui program kesejahteraan, dapat mengurangi kesenjangan sosial di masyarakat.",positif,1,0,0
,,,,
Tiga pimpinan Komisi Pemberantasan Korupsi (KPK) bergabung dengan Timnas AMIN. Ini langkah positif! Mereka memilih untuk mendukung Anies Baswedan-Muhaimin Iskandar dengan sukarela.,positif,1,0,0
"@sakaparaning @GeiszChalifah klo Anies korupsi mgkin dia udh tersangka kyk firli, coba lah jgn tll memperlihatkan ke botol an, move on bersihkan hati dr dendam &amp  kebencian",netral,1,0,0
"@v_octania Anies Baswedan, dengan pengalaman internasionalnya, dapat membawa visi global ke dalam pembangunan nasional.",positif,1,0,0
@tijabar Cuma pengurus partainya aj yg ke PraGib.   Masyarakat dan buruh tetap ke ANIES Cak IMIN. AMIN,netral,1,0,0
@SyaaLatif @GeiszChalifah Apa ada bukti saat pak anies menjabat di jakarta selama 5 tahun? Yee dasar asal cuap,netral,1,0,0
@MardaniAliSera Lihat dan renungkan lah Anies Baswedan itu mungkin bukan lah orang yg tepat dan baik untuk memimpin Negri ini https://t.co/w1HrNT7Evz,netral,1,0,0
"@BosPurwa Setiap muncul Pak Anies, selalu muncul ide dan gagasan baru, inilah pembeda dengan paslon lain. Hebat, cerdas, kerennnn",positif,1,0,0
@DimeitriMarilyn @hasyimmah Anies disetir bewok,netral,1,0,0
